ID,Angle,Ra[hh],Ra[mm],Ra[ss],Dec[deg],Dec[mm],Dec[ss],X,Y,x_1,x_2,utc_mu,year_jst_mu,month_jst_mu,day_jst_mu,hour_jst_mu,minute_jst_mu,second_jst_mu,duration,alt_start,alt_end,azimuth_radiant,zenith_radiant,velocity,n_data_interferometry,n_data_doppler,azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso
578141_037,77.5,10,13,0.6967,-9,26,51.793,279,70,100,370,2018-04-18T14:32:07.881,2018,4,18,23,32,7.88104,0.22776,100.235647,97.468902,81.720624,74.908527,48.670203,28,71,233.839094,29.970435,195300.4549,235.509698,27.886321,202131.619
578812_050,56.5,10,32,58.2328,-8,42,23.45,330,103,228,446,2018-04-18T14:39:46.933,2018,4,18,23,39,46.93288,0.34008,96.504539,90.415868,138.985466,50.691267,27.667967,53,109,232.342316,27.670577,201509.4774,234.671463,26.076206,199014.9264
578823_049,96.5,10,27,30.881,-7,48,48.937,126,36,26,267,2018-04-18T14:39:46.933,2018,4,18,23,39,46.93288,0.34008,96.504539,90.415868,138.985466,50.691267,27.667967,53,109,232.342316,27.670577,201509.4774,234.671463,26.076206,199014.9264
578823_051,56.5,10,28,24.8586,-7,57,20.659,295,143,183,372,2018-04-18T14:39:46.933,2018,4,18,23,39,46.93288,0.34008,96.504539,90.415868,138.985466,50.691267,27.667967,53,109,232.342316,27.670577,201509.4774,234.671463,26.076206,199014.9264
578833_049,96.5,10,24,9.9394,-7,54,5.512,316,108,166,443,2018-04-18T14:39:46.933,2018,4,18,23,39,46.93288,0.34008,96.504539,90.415868,138.985466,50.691267,27.667967,53,109,232.342316,27.670577,201509.4774,234.671463,26.076206,199014.9264
578843_050,96.5,10,19,35.9486,-8,1,2.971,280,200,127,367,2018-04-18T14:39:46.933,2018,4,18,23,39,46.93288,0.34008,96.504539,90.415868,138.985466,50.691267,27.667967,53,109,232.342316,27.670577,201509.4774,234.671463,26.076206,199014.9264
579513_060,88.5,10,39,23.0086,-7,47,32.971,315,19,140,479,2018-04-18T14:47:23.972,2018,4,18,23,47,23.97232,0.19344,109.986393,107.606044,94.15426,78.090842,60.570151,36,62,230.406943,31.236497,206568.9127,232.893994,29.480812,212360.3159
580511_058,85,11,17,13.0947,-9,34,8.983,253,180,66,426,2018-04-18T15:22:26.422,2018,4,19,0,22,26.42224,0.29952,96.453944,90.642778,161.880937,45.381098,27.852875,38,76,232.516817,27.429261,202934.6968,234.259779,26.230351,198483.4079
580521_059,84.5,11,11,43.8732,-9,30,13.187,256,105,80,440,2018-04-18T15:22:26.422,2018,4,19,0,22,26.42224,0.29952,96.453944,90.642778,161.880937,45.381098,27.852875,38,76,232.516817,27.429261,202934.6968,234.259779,26.230351,198483.4079
581212_028,155.5,11,22,31.0563,-8,45,11.154,198,143,151,222,2018-04-18T15:29:44.486,2018,4,19,0,29,44.48584,0.39624,105.482146,99.256988,34.691408,56.682237,29.68023,55,125,234.427378,30.708394,201128.9454,233.445639,27.878744,205809.8678
581213_028,155.5,11,23,53.9769,-8,1,6.766,457,194,424,474,2018-04-18T15:29:44.486,2018,4,19,0,29,44.48584,0.39624,105.482146,99.256988,34.691408,56.682237,29.68023,55,125,234.427378,30.708394,201128.9454,233.445639,27.878744,205809.8678
581312_047,84,11,22,29.9886,-8,54,33.208,195,261,56,305,2018-04-18T15:30:56.954,2018,4,19,0,30,56.95408,0.17472,96.332607,91.389162,150.081247,49.194199,44.086103,31,57,231.821669,28.637386,195297.831,233.749224,27.487392,192131.4374
